clade,cladepango,cladepango_unaliased,count
21K,BA.1,B.1.1.529.1,17
21L,BA.2,B.1.1.529.2,14
22B,BA.5,B.1.1.529.5,11
23A,XBB.1.5,XBB.1.5,4
21J,B.1.617.2,B.1.617.2,4
20A,B.1,B.1,3
22D,BA.2.75,B.1.1.529.2.75,2
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,2
20I,B.1.1.7,B.1.1.7,2
20H,B.1.351,B.1.351,2
20B,B.1.1,B.1.1,2
22C,BA.2.12.1,B.1.1.529.2.12.1,2
23F,EG.5.1,XBB.1.9.2.5.1,1
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,1
23D,XBB.1.9,XBB.1.9,1
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,1
recombinant,recombinant,recombinant,1
21C,B.1.427,B.1.427,1
