clade,cladepango,cladepango_unaliased,count
22B,BA.5,B.1.1.529.5,52
21L,BA.2,B.1.1.529.2,51
21K,BA.1,B.1.1.529.1,38
23A,XBB.1.5,XBB.1.5,27
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,17
23F,EG.5.1,XBB.1.9.2.5.1,14
24A,JN.1,B.1.1.529.2.86.1.1,8
22C,BA.2.12.1,B.1.1.529.2.12.1,7
23D,XBB.1.9,XBB.1.9,7
22A,BA.4,B.1.1.529.4,7
23B,XBB.1.16,XBB.1.16,6
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,5
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,5
21J,B.1.617.2,B.1.617.2,4
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,3
22F,XBB,XBB,3
20B,B.1.1,B.1.1,3
20G,B.1.2,B.1.2,2
19A,B,B,2
23E,XBB.2.3,XBB.2.3,2
recombinant,recombinant,recombinant,2
20C,B.1,B.1,1
25C,XFG,XFG,1
20A,B.1,B.1,1
22D,BA.2.75,B.1.1.529.2.75,1
20I,B.1.1.7,B.1.1.7,1
21I,B.1.617.2,B.1.617.2,1
23I,BA.2.86,B.1.1.529.2.86,1
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,1
