clade,cladepango,cladepango_unaliased,count
21K,BA.1,B.1.1.529.1,20
21L,BA.2,B.1.1.529.2,19
22B,BA.5,B.1.1.529.5,11
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,7
23D,XBB.1.9,XBB.1.9,6
23A,XBB.1.5,XBB.1.5,6
23F,EG.5.1,XBB.1.9.2.5.1,4
21J,B.1.617.2,B.1.617.2,4
22C,BA.2.12.1,B.1.1.529.2.12.1,4
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,3
23B,XBB.1.16,XBB.1.16,3
24A,JN.1,B.1.1.529.2.86.1.1,3
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,3
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,2
20C,B.1,B.1,2
23E,XBB.2.3,XBB.2.3,2
20A,B.1,B.1,2
recombinant,recombinant,recombinant,2
22D,BA.2.75,B.1.1.529.2.75,2
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,2
20I,B.1.1.7,B.1.1.7,2
19A,B,B,1
20E,B.1.177,B.1.177,1
22F,XBB,XBB,1
24F,XEC,XEC,1
23I,BA.2.86,B.1.1.529.2.86,1
20B,B.1.1,B.1.1,1
