clade,cladepango,cladepango_unaliased,count
21K,BA.1,B.1.1.529.1,21
21L,BA.2,B.1.1.529.2,20
22B,BA.5,B.1.1.529.5,11
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,7
23D,XBB.1.9,XBB.1.9,6
23F,EG.5.1,XBB.1.9.2.5.1,5
20A,B.1,B.1,4
23A,XBB.1.5,XBB.1.5,4
23B,XBB.1.16,XBB.1.16,4
24A,JN.1,B.1.1.529.2.86.1.1,4
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,3
22D,BA.2.75,B.1.1.529.2.75,3
21J,B.1.617.2,B.1.617.2,3
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,3
22C,BA.2.12.1,B.1.1.529.2.12.1,3
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,2
22F,XBB,XBB,2
recombinant,recombinant,recombinant,2
20C,B.1,B.1,1
19A,B,B,1
23E,XBB.2.3,XBB.2.3,1
20E,B.1.177,B.1.177,1
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,1
20B,B.1.1,B.1.1,1
