clade,cladepango,cladepango_unaliased,count
21L,BA.2,B.1.1.529.2,91
21K,BA.1,B.1.1.529.1,89
22B,BA.5,B.1.1.529.5,77
23A,XBB.1.5,XBB.1.5,36
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,27
21J,B.1.617.2,B.1.617.2,25
23F,EG.5.1,XBB.1.9.2.5.1,19
23B,XBB.1.16,XBB.1.16,17
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,13
23D,XBB.1.9,XBB.1.9,12
24A,JN.1,B.1.1.529.2.86.1.1,12
22C,BA.2.12.1,B.1.1.529.2.12.1,11
20A,B.1,B.1,11
20B,B.1.1,B.1.1,9
22A,BA.4,B.1.1.529.4,7
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,6
20G,B.1.2,B.1.2,6
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,6
20I,B.1.1.7,B.1.1.7,6
23E,XBB.2.3,XBB.2.3,5
22F,XBB,XBB,5
24F,XEC,XEC,5
recombinant,recombinant,recombinant,4
22D,BA.2.75,B.1.1.529.2.75,4
20C,B.1,B.1,3
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,3
20E,B.1.177,B.1.177,2
25B,NB.1.8.1,XDV.1.5.1.1.8.1,2
23I,BA.2.86,B.1.1.529.2.86,2
24H,LF.7,B.1.1.529.2.86.1.1.16.1.7,1
25C,XFG,XFG,1
21F,B.1.526,B.1.526,1
23H,HK.3,XBB.1.9.2.5.1.1.3,1
21C,B.1.427,B.1.427,1
