clade,cladepango,cladepango_unaliased,count
21K,BA.1,B.1.1.529.1,95
21L,BA.2,B.1.1.529.2,57
22B,BA.5,B.1.1.529.5,57
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,27
23A,XBB.1.5,XBB.1.5,21
24A,JN.1,B.1.1.529.2.86.1.1,18
22A,BA.4,B.1.1.529.4,11
22D,BA.2.75,B.1.1.529.2.75,10
23B,XBB.1.16,XBB.1.16,8
21J,B.1.617.2,B.1.617.2,8
23D,XBB.1.9,XBB.1.9,7
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,6
22C,BA.2.12.1,B.1.1.529.2.12.1,6
23F,EG.5.1,XBB.1.9.2.5.1,5
20A,B.1,B.1,5
20B,B.1.1,B.1.1,5
recombinant,recombinant,recombinant,4
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,4
23G,XBB.1.5.70,XBB.1.5.70,3
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,2
25A,LP.8.1,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,2
23E,XBB.2.3,XBB.2.3,2
22F,XBB,XBB,2
20I,B.1.1.7,B.1.1.7,2
21I,B.1.617.2,B.1.617.2,2
20G,B.1.2,B.1.2,1
21A,B.1.617.2,B.1.617.2,1
24D,XDV.1,XDV.1,1
20J,P.1,B.1.1.28.1,1
24G,KP.2.3,B.1.1.529.2.86.1.1.11.1.2.3,1
24F,XEC,XEC,1
23H,HK.3,XBB.1.9.2.5.1.1.3,1
25B,NB.1.8.1,XDV.1.5.1.1.8.1,1
23I,BA.2.86,B.1.1.529.2.86,1
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,1
