clade,cladepango,cladepango_unaliased,count
21A,B.1.617.2,B.1.617.2,1
21M,BA.3,B.1.1.529.3,1
20D,B.1.1.1,B.1.1.1,1
24G,KP.2.3,B.1.1.529.2.86.1.1.11.1.2.3,1
21D,B.1.525,B.1.525,1
19B,A,A,2
21I,B.1.617.2,B.1.617.2,2
23G,XBB.1.5.70,XBB.1.5.70,2
24F,XEC,XEC,3
23I,BA.2.86,B.1.1.529.2.86,3
20H,B.1.351,B.1.351,3
21C,B.1.427,B.1.427,3
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,3
19A,B,B,4
23H,HK.3,XBB.1.9.2.5.1.1.3,4
22F,XBB,XBB,5
23E,XBB.2.3,XBB.2.3,6
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,6
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,7
20E,B.1.177,B.1.177,8
recombinant,recombinant,recombinant,8
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,9
20I,B.1.1.7,B.1.1.7,9
22D,BA.2.75,B.1.1.529.2.75,10
22C,BA.2.12.1,B.1.1.529.2.12.1,12
24A,JN.1,B.1.1.529.2.86.1.1,13
22A,BA.4,B.1.1.529.4,14
23D,XBB.1.9,XBB.1.9,17
20G,B.1.2,B.1.2,18
20C,B.1,B.1,18
23B,XBB.1.16,XBB.1.16,18
23F,EG.5.1,XBB.1.9.2.5.1,25
20B,B.1.1,B.1.1,26
23A,XBB.1.5,XBB.1.5,33
21J,B.1.617.2,B.1.617.2,34
20A,B.1,B.1,36
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,51
21L,BA.2,B.1.1.529.2,93
22B,BA.5,B.1.1.529.5,104
21K,BA.1,B.1.1.529.1,124
