clade,cladepango,cladepango_unaliased,count
21K,BA.1,B.1.1.529.1,34
22B,BA.5,B.1.1.529.5,27
21L,BA.2,B.1.1.529.2,17
24A,JN.1,B.1.1.529.2.86.1.1,7
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,5
23A,XBB.1.5,XBB.1.5,5
22C,BA.2.12.1,B.1.1.529.2.12.1,5
23D,XBB.1.9,XBB.1.9,3
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,3
20A,B.1,B.1,3
22F,XBB,XBB,2
recombinant,recombinant,recombinant,2
20I,B.1.1.7,B.1.1.7,2
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,2
19A,B,B,1
23E,XBB.2.3,XBB.2.3,1
23B,XBB.1.16,XBB.1.16,1
22D,BA.2.75,B.1.1.529.2.75,1
22A,BA.4,B.1.1.529.4,1
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,1
21I,B.1.617.2,B.1.617.2,1
23I,BA.2.86,B.1.1.529.2.86,1
21J,B.1.617.2,B.1.617.2,1
20B,B.1.1,B.1.1,1
