clade,cladepango,cladepango_unaliased,count
21K,BA.1,B.1.1.529.1,39
22B,BA.5,B.1.1.529.5,38
21L,BA.2,B.1.1.529.2,34
23A,XBB.1.5,XBB.1.5,13
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,12
20A,B.1,B.1,8
23F,EG.5.1,XBB.1.9.2.5.1,8
24A,JN.1,B.1.1.529.2.86.1.1,7
21J,B.1.617.2,B.1.617.2,7
23D,XBB.1.9,XBB.1.9,6
20B,B.1.1,B.1.1,6
22D,BA.2.75,B.1.1.529.2.75,5
22A,BA.4,B.1.1.529.4,5
22C,BA.2.12.1,B.1.1.529.2.12.1,4
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,4
23B,XBB.1.16,XBB.1.16,4
20C,B.1,B.1,3
recombinant,recombinant,recombinant,3
23I,BA.2.86,B.1.1.529.2.86,3
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,2
20E,B.1.177,B.1.177,2
24G,KP.2.3,B.1.1.529.2.86.1.1.11.1.2.3,2
20G,B.1.2,B.1.2,1
21M,BA.3,B.1.1.529.3,1
23E,XBB.2.3,XBB.2.3,1
21G,C.37,B.1.1.1.37,1
19A,B,B,1
20D,B.1.1.1,B.1.1.1,1
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,1
24F,XEC,XEC,1
23H,HK.3,XBB.1.9.2.5.1.1.3,1
20I,B.1.1.7,B.1.1.7,1
23G,XBB.1.5.70,XBB.1.5.70,1
21I,B.1.617.2,B.1.617.2,1
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,1
