clade,cladepango,cladepango_unaliased,count
22B,BA.5,B.1.1.529.5,63
21K,BA.1,B.1.1.529.1,58
21L,BA.2,B.1.1.529.2,56
23A,XBB.1.5,XBB.1.5,22
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,20
21J,B.1.617.2,B.1.617.2,18
23D,XBB.1.9,XBB.1.9,14
20B,B.1.1,B.1.1,14
23F,EG.5.1,XBB.1.9.2.5.1,13
24A,JN.1,B.1.1.529.2.86.1.1,11
22C,BA.2.12.1,B.1.1.529.2.12.1,9
23B,XBB.1.16,XBB.1.16,8
23E,XBB.2.3,XBB.2.3,5
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,5
20A,B.1,B.1,5
22A,BA.4,B.1.1.529.4,5
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,4
recombinant,recombinant,recombinant,4
23I,BA.2.86,B.1.1.529.2.86,4
20G,B.1.2,B.1.2,3
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,3
24F,XEC,XEC,3
20I,B.1.1.7,B.1.1.7,3
22F,XBB,XBB,2
20E,B.1.177,B.1.177,2
22D,BA.2.75,B.1.1.529.2.75,2
23H,HK.3,XBB.1.9.2.5.1.1.3,2
21I,B.1.617.2,B.1.617.2,2
23G,XBB.1.5.70,XBB.1.5.70,2
20C,B.1,B.1,1
21M,BA.3,B.1.1.529.3,1
20D,B.1.1.1,B.1.1.1,1
20H,B.1.351,B.1.351,1
21C,B.1.427,B.1.427,1
24B,JN.1.11.1,B.1.1.529.2.86.1.1.11.1,1
