clade,cladepango,cladepango_unaliased,count
21K,BA.1,B.1.1.529.1,32
21L,BA.2,B.1.1.529.2,26
22B,BA.5,B.1.1.529.5,24
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,11
24A,JN.1,B.1.1.529.2.86.1.1,11
23D,XBB.1.9,XBB.1.9,6
23H,HK.3,XBB.1.9.2.5.1.1.3,6
23F,EG.5.1,XBB.1.9.2.5.1,6
23A,XBB.1.5,XBB.1.5,5
22D,BA.2.75,B.1.1.529.2.75,4
23E,XBB.2.3,XBB.2.3,3
20A,B.1,B.1,3
22A,BA.4,B.1.1.529.4,3
24F,XEC,XEC,3
21J,B.1.617.2,B.1.617.2,3
22C,BA.2.12.1,B.1.1.529.2.12.1,2
20C,B.1,B.1,2
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,2
23B,XBB.1.16,XBB.1.16,2
20B,B.1.1,B.1.1,2
25A,LP.8.1,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,1
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,1
22F,XBB,XBB,1
21G,C.37,B.1.1.1.37,1
24G,KP.2.3,B.1.1.529.2.86.1.1.11.1.2.3,1
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,1
20I,B.1.1.7,B.1.1.7,1
21I,B.1.617.2,B.1.617.2,1
20H,B.1.351,B.1.351,1
