clade,cladepango,cladepango_unaliased,count
21L,BA.2,B.1.1.529.2,27
21K,BA.1,B.1.1.529.1,21
22B,BA.5,B.1.1.529.5,17
23A,XBB.1.5,XBB.1.5,13
22E,BQ.1,B.1.1.529.5.3.1.1.1.1.1,12
23F,EG.5.1,XBB.1.9.2.5.1,8
22F,XBB,XBB,6
22C,BA.2.12.1,B.1.1.529.2.12.1,4
24A,JN.1,B.1.1.529.2.86.1.1,4
21J,B.1.617.2,B.1.617.2,4
24E,KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,3
20A,B.1,B.1,3
23B,XBB.1.16,XBB.1.16,3
recombinant,recombinant,recombinant,3
24C,KP.3,B.1.1.529.2.86.1.1.11.1.3,3
23C,CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,2
23D,XBB.1.9,XBB.1.9,2
22A,BA.4,B.1.1.529.4,2
20I,B.1.1.7,B.1.1.7,2
25A,LP.8.1,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1,1
20G,B.1.2,B.1.2,1
20E,B.1.177,B.1.177,1
23G,XBB.1.5.70,XBB.1.5.70,1
20B,B.1.1,B.1.1,1
